title,developer,publisher,year
"3-D WorldRunner
The 3-D Battles of WorldRunner",Square,"Acclaim Entertainment
Square",1987
8 Eyes,Thinking Rabbit,"SETA (JP)
Taxan (NA)",1990
10-Yard Fight,Tose,"Irem (JP)
Nintendo (NA/PAL)",1985
720°,Beam Software,Mindscape,1989
1942,Micronics,Capcom,1986
"1943: The Battle of Midway
1943: The Battle of Valhalla (JP)",Capcom,Capcom,1988
"A Boy and His Blob: Trouble on Blobolonia
Fushigi na Blobby (JP)",Imagineering,"Jaleco (JP)
Absolute Entertainment (NA)
Nintendo (PAL)",1990
A Nightmare on Elm Street,Rare,LJN,1990
Abadox: The Deadly Inner War,Natsume,"Natsume (JP)
Milton Bradley Company (NA)",1990
Advanced Dungeons & Dragons: DragonStrike,Westwood Associates,FCI,1992
Advanced Dungeons & Dragons: Heroes of the Lance,Natsume,"Pony Canyon (JP)
FCI (NA)",1991
Advanced Dungeons & Dragons: Hillsfar,Crosstalk,"Pony Canyon (JP)
FCI (NA)",1993
Advanced Dungeons & Dragons: Pool of Radiance,"Marionette
SRS","Pony Canyon (JP)
FCI (NA)",1992
"Adventure Island 3
Takahashi Meijin no Boken Jima III (JP)",Now Production,Hudson Soft,1992
"Adventure Island II
Takahashi Meijin no Boken Jima II (JP)
The Adventure Island Part II (PAL)",Now Production,Hudson Soft,1991
Adventures in the Magic Kingdom,Capcom,Capcom,1990
"Adventures of Dino Riki
Shinjinrui (JP)",Hudson Soft,"Rix Soft (JP)
Hudson Soft (NA)",1989
Adventures of Lolo,HAL Laboratory,HAL Laboratory,1989
"Adventures of Lolo 2
Adventures of Lolo (JP)",HAL Laboratory,"HAL Laboratory (JP/PAL)
HAL America (NA)",1990
"Adventures of Lolo 3
Adventures of Lolo 2 (JP)",HAL Laboratory,"HAL Laboratory (JP/PAL)
HAL America (NA)",1991
"Adventures of Tom Sawyer
Tom Sawyer no Bōken (JP)",Winkysoft,SETA,1989
Air Fortress,HAL Laboratory,"HAL Laboratory (JP/PAL)
HAL America (NA)",1989
Airwolf,Beam Software,Acclaim Entertainment,1989
"Al Unser Jr.'s Turbo Racing
World Grand-Prix - Pole To Finish (JP)
Turbo Racing (PAL)",Data East,Data East,1990
"Alex Demeo's Race America
Corvette ZR-1 Challenge (PAL)",Imagineering,"Absolute Entertainment (NA)
Milton Bradley Company (PAL)",1992
Alfred Chicken,Twilight,Mindscape,1994
Alien 3,Probe Software,LJN,1993
"All-Pro Basketball
Zenbei!! Pro Basketball (JP)",Aicom,Vic Tokai,1989
"Alpha Mission
ASO: Armored Scrum Object (JP)",SNK,SNK,1987
"Amagon
Totsuzen! Macho Man (JP)",Aicom,"Vic Tokai (JP)
American Sammy (NA)",1989
American Gladiators,Incredible Technologies,GameTek,1991
Anticipation,Rare,Nintendo,1988
Arch Rivals,Rare,Acclaim Entertainment,1990
Archon,Bullet-Proof Software,Activision,1989
Arkanoid,Taito,Taito,1987
Arkista's Ring,NMK,American Sammy,1990
"Astyanax
Lord of King (JP)",Aicom,Jaleco,1990
Athena,Micronics,SNK,1987
"Athletic World
Family Trainer: Athletic World (JP)",Human Entertainment,"Bandai (JP/NA)
Nintendo (PAL)",1987
Attack of the Killer Tomatoes,Imagineering,THQ,1992
Back to the Future,Beam Software,LJN,1989
Back to the Future Part II & III,Beam Software,LJN,1990
"Bad Dudes
Dragon Ninja (JP)
Bad Dudes vs. DragonNinja (PAL)",Data East,"Namco (JP)
Data East (NA)
Ocean Software (PAL)",1989
"Bad News Baseball
Gekitou!! Stadium (JP)",Tecmo,Tecmo,1990
Bad Street Brawler,Beam Software,Mattel,1989
Balloon Fight,"Nintendo R&D1
HAL Laboratory",Nintendo,1986
Bandai Golf: Challenge Pebble Beach,Tose,Bandai,1989
"Bandit Kings of Ancient China
Suikoden: Tenmei no Chikai (JP)",Koei,Koei,1990
Barbie,Imagineering,Hi Tech Expressions,1991
Bard's Tale: Tales of the Unknown,Atelier Double,"Pony Canyon (JP)
FCIUS",1991
Barker Bill's Trick Shooting,Nintendo R&D1,Nintendo,1990
Base Wars,Konami,Ultra Games,1991
Baseball,Nintendo R&D1,Nintendo,1985
"Baseball Simulator 1.000
Choujin Ultra Baseball (JP)",Culture Brain,Culture Brain,1990
"Baseball Stars
Baseball Stars: Mezase Sankanou!! (JP)",SNK,SNK,1989
Baseball Stars 2,Pixel,Romstar,1992
"Bases Loaded
Moero!! Pro Yakyuu (JP)",Tose,Jaleco,1988
"Bases Loaded 3
Moero!! Pro Yakyuu '90: Kandouhen (JP)",Tose,Jaleco,1991
"Bases Loaded 4
Moe-Pro! Saikyou Hen (JP)",Tose,Jaleco,1993
"Bases Loaded II: Second Season
Moero!! Pro Yakyuu '88 (JP)",Tose,Jaleco,1990
Batman Returns,Konami,Konami,1993
"Batman: Return of the Joker
Dynamite Batman (JP)",Sunsoft,Sunsoft,1991
Batman: The Video Game,Sunsoft,Sunsoft,1990
Battle Chess,Beam Software,Data East,1990
Battle Tank,Imagineering,Absolute Entertainment,1990
Battleship,Mindscape,Mindscape,1993
Battletoads,Rare,Tradewest,1991
Battletoads/Double Dragon,Rare,"Tradewest (NA)
Nintendo (PAL)",1993
Beetlejuice,Rare,LJN,1991
Best of the Best: Championship Karate,Movie Software,"Electro Brain (NA)
Loriciel (PAL)",1992
Bigfoot,Beam Software,Acclaim Entertainment,1990
Bill & Ted's Excellent Video Game Adventure,Rocket Science Productions,LJN,1991
Bill Elliott's NASCAR Challenge,Distinctive Software,Konami,1991
"Bionic Commando
Hitler no Fukkatsu: Top Secret (JP)",Capcom,Capcom,1988
Blades of Steel,Konami,Konami,1988
"Blaster Master
Chou-Wakusei Senki MetaFight (JP)",Sunsoft,Sunsoft,1988
Bo Jackson Baseball,Beam Software,Data East,1991
Bomberman,Hudson Soft,Hudson Soft,1989
"Bomberman II
Dynablaster (PAL)",Hudson Soft,Hudson Soft,1993
"Bonk's Adventure
FC Genjin (JP)",AI,Hudson Soft,1994
Boulder Dash,"Data East
Sakata SAS","Data East (JP)
JVC Musical Industries (NA)
Nintendo (PAL)",1990
Bram Stoker's Dracula,Probe Software,Sony Imagesoft,1993
Break Time: The National Pool Tour,Opera House,FCI,1993
BreakThru,Data East,Data East,1987
Bubble Bobble,Taito,Taito,1988
"Bubble Bobble Part 2
Bubble Bobble 2 (JP)","OLM
I.T.L",Taito,1993
Bucky O'Hare,Konami,"Konami (JP/NA)
Palcom Software (PAL)",1992
Bump 'n' Jump,"Data East
Sakata SAS","Data East (JP)
Vic Tokai (NA)",1988
Burai Fighter,KID,"Taito (JP)
Taxan (NA)
Nintendo (PAL)",1990
BurgerTime,"Data East
Sakata SAS","Namco (JP)
Data East (NA)",1987
Cabal,Zippo Games,Milton Bradley Company,1990
Caesars Palace,Realtime Associates,Virgin Games,1992
California Games,Rare,Milton Bradley Company,1989
"Capcom's Gold Medal Challenge '92
Capcom Barcelona '92 (JP)",Capcom,Capcom,1992
Captain America and The Avengers,Data East,Data East,1991
Captain Planet and the Planeteers,Chris Gray Enterprises,Mindscape,1991
Captain Skyhawk,Rare,"Milton Bradley Company (NA)
Nintendo (PAL)",1990
"Casino Kid
$1,000,000 Kid: Maboroshi no Teiou Hen (JP)",SOFEL,SOFEL,1989
Casino Kid 2,SOFEL,SOFEL,1993
"Castelian
Kyorochan Land (JP)",Bits Studios,"Hiro (JP)
Triffix (NA)
Storm (PAL)",1991
"Castle of Dragon
Dragon Unit (JP)",Athena,SETA,1990
"Castlequest
Castle Excellent (JP)",ASCII,"ASCII (JP)
Nexoft (NA)",1989
"Castlevania
Akumajō Dracula (JP)",Konami,Konami,1987
Castlevania II: Simon's Quest,Konami,Konami,1988
"Castlevania III: Dracula's Curse
Akumajō Densetsu (JP)",Konami,Konami,1990
Caveman Games,Painting by Numbers,Data East,1990
Championship Bowling,Athena,"Athena (JP)
Romstar (NA)",1989
Championship Pool,Bitmasters,Mindscape,1993
"Chip 'n Dale: Rescue Rangers
Chip to Dale no Daisakusen (JP)",Capcom,Capcom,1990
"Chip 'n Dale: Rescue Rangers 2
Chip to Dale no Daisakusen 2 (JP)",Capcom,Capcom,1994
"Chubby Cherub
Obake no Q Tarou: Wan Wan Panic (JP)",Tose,Bandai,1986
"Circus Caper
Moeru! Oniisan (JP)",Advance Communication Company,Toho,1990
City Connection,,Jaleco,1988
"Clash at Demonhead
Dengeki Big Bang! (JP)",Vic Tokai,Vic Tokai,1990
Classic Concentration,Softie,GameTek,1990
Cliffhanger,Spidersoft,Sony Imagesoft,1993
Clu Clu Land,Nintendo R&D1,Nintendo,1985
Cobra Command,Data East,Data East,1988
Cobra Triangle,Rare,Nintendo,1989
"Code Name: Viper
Ningen Heiki Dead Fox (JP)","Arc System Works
Capcom",Capcom,1990
Color a Dinosaur,FarSight Studios,Virgin Games,1993
"Commando
Senjo no Ookami (JP)",Capcom,Capcom,1986
Conan: The Mysteries of Time,Eastridge Technology,Mindscape,1991
Conflict,Vic Tokai,Vic Tokai,1990
"Conquest of the Crystal Palace
Matendo Douji (JP)",Quest,"Quest (JP)
Asmik (NA)",1990
"Contra
Probotector (PAL)
Gryzor (AUS/EU)",Konami,Konami,1988
Contra Force,Konami,Konami,1992
Cool World,Ocean Software,Ocean Software,1993
"Cowboy Kid
Western Kids (JP)",Pixel,"Visco (JP)
Romstar (NA)",1992
"Crash 'n the Boys: Street Challenge
Bikkuri Nekketsu Shin Kiroku! Harukanaru Kin Medal (JP)",Technōs Japan,Technōs Japan,1992
"Crystalis
God Slayer: Haruka Tenkū no Sonata (JP)",SNK,SNK,1990
Cyberball,Richard Seaborne,Jaleco,1992
Cybernoid: The Fighting Machine,Raffaele Cecco,Acclaim Entertainment,1989
"Dance Aerobics
Family Trainer: Aerobics Studio (JP)",Human Entertainment,"Bandai (JP)
Nintendo (NA)",1989
Danny Sullivan's Indy Heat,Rare,Tradewest,1992
Darkman,Painting by Numbers,Ocean Software,1991
Darkwing Duck,Capcom,Capcom,1992
Dash Galaxy in the Alien Asylum,Beam Software,Data East,1990
Day Dreamin' Davey,Sculptured Software,HAL America,1992
Days of Thunder,Beam Software,Mindscape,1990
"Deadly Towers
Mashou (JP)","Lenar
Tamtex","Irem (JP)
Brøderbund (NA)",1987
"Defender II
Stargate (JP)",Vid Kidz,"HAL (JP)
HAL America (NA)",1988
Defender of the Crown,Beam Software,"Ultra Games (NA)
Palcom Software (PAL)",1989
Defenders of Dynatron City,Lucasfilm Games,JVC Musical Industries,1992
"Demon Sword
Fudou Myououden (JP)",Tose,Taito,1990
"Desert Commander
Sensha Senryaku: Sabaku no Kitsune (JP)",Kemco,"Kemco (JP)
Kemco*Seika (NA)",1989
Destination Earthstar,Imagineering,Acclaim Entertainment,1990
"Destiny of an Emperor
Tenchi wo Kurau (JP)",Capcom,Capcom,1990
Dick Tracy,Realtime Associates,Bandai,1990
Die Hard,Pack-In-Video,"Pack-In-Video (JP)
Activision (NA/PAL)",1992
Dig Dug II,Namco,"Namco (JP)
Bandai (NA)",1989
Digger T. Rock: Legend of the Lost City,Rare,Milton Bradley Company,1990
Dirty Harry,Gray Matter Inc.,Mindscape,1990
Donkey Kong,"Nintendo R&D1
Nintendo R&D2",Nintendo,1986
Donkey Kong 3,"Nintendo R&D1
Nintendo R&D2",Nintendo,1986
Donkey Kong Classics,Nintendo R&D4,Nintendo,1988
Donkey Kong Jr.,"Nintendo R&D1
Nintendo R&D2",Nintendo,1986
"Donkey Kong Jr. Math
Donkey Kong Jr. no Sansū Asobi (JP)",Nintendo R&D2,Nintendo,1986
Double Dare,Rare,GameTek,1990
Double Dragon,Technōs Japan,"Technōs Japan (JP)
Tradewest (NA)
Nintendo (PAL)",1988
Double Dragon II: The Revenge,Technōs Japan,"Technōs Japan (JP)
Acclaim Entertainment (NA/PAL)",1990
"Double Dragon III: The Sacred Stones
Double Dragon III: The Rosetta Stone (JP)",Technōs Japan,"Technōs Japan (JP)
Acclaim Entertainment (NA/PAL)",1991
Double Dribble,Konami,Konami,1987
Dr. Chaos,"Marionette
SRS",FCI,1988
"Dr. Jekyll and Mr. Hyde
Jekyll Hakase no Houma ga Toki (JP)",Advance Communication Company,"Toho (JP)
Bandai (NA)",1989
Dr. Mario,Nintendo R&D1,Nintendo,1990
Dragon Fighter,Natsume,"Towachiki (JP)
SOFEL (NA)",1992
"Dragon Power
Dragon Ball: Shenron no Nazo (JP)
Dragon BallPALDragon Ball: Le Secret du DragonFR",Tose,Bandai,1988
"Dragon Spirit: The New Legend
Dragon Spirit: Aratanaru Densetsu (JP)",Now Production,"Namco (JP)
Bandai (NA)",1990
"Dragon Warrior
Dragon Quest (JP)",Chunsoft,"Enix (JP)
Nintendo (NA)",1989
"Dragon Warrior II
Dragon Quest II: Gods of the Evil Spirits (JP)",Chunsoft,Enix,1990
"Dragon Warrior III
Dragon Quest III: And thus into Legend... (JP)",Chunsoft,Enix,1992
"Dragon Warrior IV
Dragon Quest IV: The Guided Ones (JP)",Chunsoft,Enix,1992
Dragon's Lair,MotiveTime,"Epic/Sony Records (JP)
CSG Imagesoft (NA)
Elite Systems (PAL)",1990
Duck Hunt,"Nintendo R&D1
Intelligent Systems",Nintendo,1985
"DuckTales
Wanpaku Duck Yume Bouken (JP)",Capcom,Capcom,1989
DuckTales 2,Capcom,Capcom,1993
Dungeon Magic: Sword of the Elements,Natsume,"Natsume (JP)
Taito (NA)",1990
"Dusty Diamond's All-Star Softball
Softball Tengoku (JP)",Tose,"Tonkin House (JP)
Brøderbund (NA)",1990
Dynowarz: Destruction of Spondylus,Advance Communication Company,Bandai,1990
Déjà Vu,Kemco,"Kemco (JP/PAL)
Kemco*Seika (NA)",1990
Eggsplode! (part of Short Order / Eggsplode!),Tose,Nintendo,1989
Elevator Action,Micronics,Taito,1987
Eliminator Boat Duel,Sculptured Software,"Electro Brain (NA)
Storm (PAL)",1991
Excitebike,"Nintendo R&D1
Nintendo R&D4",Nintendo,1985
F-15 Strike Eagle,MicroProse,MicroProse,1992
F-117A Stealth Fighter,MicroProse,MicroProse,1992
Family Feud,Beam Software,GameTek,1991
"Faria: A World of Mystery and Danger
Faria Fuuin no Tsurugi (JP)",Game Arts,"Hi-Score Media Work (JP)
Nexoft (NA)",1991
Faxanadu,Hudson Soft,"Hudson Soft (JP)
Nintendo (NA)",1989
Felix the Cat,Shimada Kikaku,Hudson Soft,1992
"Ferrari Grand Prix Challenge
Ferrari (JP)",System 3,"Coconuts Japan (JP)
Acclaim Entertainment (NA/PAL)",1992
Fester's Quest,Sunsoft,Sunsoft,1989
Final Fantasy,Square,"Square (JP)
Nintendo (NA)",1990
"Fire 'n Ice
Solomon no Kagi 2 (JP)
Solomon's Key 2 (PAL)",Tecmo,Tecmo,1993
Fisher-Price: Firehouse Rescue,Imagineering,GameTek,1992
Fisher-Price: I Can Remember,Beam Software,GameTek,1990
Fisher-Price: Perfect Fit,Beam Software,GameTek,1990
"Fist of the North Star
Hokuto no Ken 2 (JP)",Shouei System,"Toei Animation (JP)
Taxan (NA)",1989
"Flight of the Intruder
Phantom Air Mission (PAL)",Imagineering,"Mindscape (NA)
Activision (PAL)",1991
"Flying Dragon: The Secret Scroll
Hiryu no Ken (JP)",Culture Brain,Culture Brain,1989
Flying Warriors,Culture Brain,Culture Brain,1991
Formula One: Built to Win,Winkysoft,SETA,1990
Frankenstein: The Monster Returns,Tose,Bandai,1991
Freedom Force,Sunsoft,Sunsoft,1988
Friday the 13th,Atlus,LJN,1989
Fun House,Realtime Associates,Hi Tech Expressions,1991
G.I. Joe: A Real American Hero,KID,Taxan,1991
G.I. Joe: The Atlantis Factor,KID,Capcom,1992
"Galaga: Demons of Death
Galaga (JP/PAL)",Namco,"Namco (JP)
Bandai (NA/PAL)",1988
"Galaxy 5000: Racing in the 51st Century
Galaxy 5000",Activision,Activision,1991
"Gargoyle's Quest II: The Demon Darkness
Red Arremer II (JP)",Capcom,Capcom,1992
Gauntlet,Tengen,Tengen,1988
