game,ep,ytid,seconds,screenshot,wiki_line
Mega Man 2,43,vMr8Tff5fn0,345,,
Bionic Commando,23,TO0K85hA9uE,2834,,
Super Mario Bros.,12,A_PW9Xnkl-k,304,,
Rygar,4,i7GjD6TChrE,560,,
River City Ransom,1,46AjLP33meU,1160,,
Super Mario Bros. 2,31,990ALGbfBM0,166,,
DuckTales,39,gXQK9deTirQ,295,DuckTales (USA).png,l_175
Contra,10,2i22nCcC3Uc,5523,,
Baseball Stars,40,oRs1xq4rmhs,2780,,
Mike Tyson's Punch-Out!!,21,BYAdYBLgDTA,589,,
R.B.I. Baseball,36,xSLLZ-bG58w,3068,R.B.I. Baseball (USA) (Unl).png,u_129
Blaster Master,25,I3Y7_lJi52U,302,,
The Lone Ranger,47,tljF9Th23TI,10053,"Lone Ranger, The (USA).png",
The Goonies II,19,XulBxMzF0_k,435,"Goonies II, The (USA).png",
Gun.Smoke,10,2i22nCcC3Uc,200,,
Super Dodge Ball,11,pvS28XD9VTU,3060,,
Little Samson,6,MXOf7JrEV5c,2259,,
Solomon's Key,1,46AjLP33meU,9100,,l_480
Jackal,7,WKvoWrbR5-g,5886,,
R.C. Pro-Am,5,yD6oy052448,560,,
Gun-Nac,15,4gDinOOJY0Y,7635,Gun Nac (USA).png,
Mega Man,18,asObqPb_sgc,270,,
Ninja Gaiden,29,ZrAd8ONtwco,707,,
Cobra Triangle,17,8LlHlnR7IqU,7030,,
Tecmo Bowl,9,Lt2ixSMYz_g,205,,
Castlevania,20,CPQwv8ztXHE,2314,,
Metal Storm,45,52h1-rXSCLg,263,,
Kickle Cubicle,2,AjYgfbIITwI,10564,,
Kung Fu,1,46AjLP33meU,9950,"Kung Fu (Japan, USA) (En).png",l_298
Commando,8,j800-eNkR6I,283,Commando (USA).png,l_121
Tecmo World Wrestling,12,A_PW9Xnkl-k,9565,,
Balloon Fight,14,7hA17-w9HXw,129,,
Guerrilla War,16,ZUYSd8XOBzo,8438,,
Code Name: Viper,25,I3Y7_lJi52U,9004,,
Shatterhand,27,0cZrjELizNo,3627,,
Trojan,2,AjYgfbIITwI,660,,
Super Spy Hunter,11,pvS28XD9VTU,8610,,
Solar Jetman: Hunt for the Golden Warpship,13,L-2bfl94IGg,9123,,
Baseball Simulator 1.000,4,i7GjD6TChrE,6018,,
Air Fortress,3,g9Qa6fPIOxo,6566,,
Zanac,6,MXOf7JrEV5c,5704,,
Teenage Mutant Ninja Turtles II: The Arcade Game,42,T5uwq45tx0U,405,Teenage Mutant Ninja Turtles II - The Arcade Game (USA).png,
Mighty Bomb Jack,37,8piDFKn5AYk,10520,,
Kick Master,27,0cZrjELizNo,5265,,
Gradius,13,L-2bfl94IGg,267,,
Tetris,22,OTRnYs1D21k,75,Tetris (USA).png,l_539
