title,publisher,year
2-in-1 Cosmocop / Cyber Monster,Sachen,1993
2-in-1 Tough Cop / Super Tough Cop,Sachen,1993
2 Turn Pair,Hwang Shinwei,1991
3D Block,Hwang Shinwei,1989
Action 52,Active Enterprises,1991
The Adventures of Captain Comic,Color Dreams,1989
After Burner,Tengen,1989
Alien Syndrome,Tengen,1989
Auto Upturn,Sachen,1991
Baby Boomer,Color Dreams,1989
BB Car,Hwang Shinwei,1991
Bee 52,Camerica,1992
Bible Adventures,Wisdom Tree,1991
Bible Buffet,Wisdom Tree,1993
Big Nose Freaks Out,Camerica,1992
Big Nose the Caveman,Camerica,1991
Bingo 75,Sachen,1990
Blackjack,American Video Entertainment,1992
Block Force,Hwang Shinwei,1990
Brush Roller,Hwang Shinwei,1990
Bubble Bath Babes,Panesian,1991
Caltron 6 in 1,Caltron,1992
Castle of Deceit,Bunch Games,1990
Challenge of the Dragon,Color Dreams,1990
Chess Academy,Sachen,1991
Chiller,"American Game Cartridges (NA)
HES (AU)",1990
China Chess,Hwang Shinwei,Unknown
Chinese Checkers,Sachen,1991
Chinese Kung Fu,Sachen,1989
Crystal Mines,Color Dreams,1989
Dancing Block,Sachen,1990
Death Race,American Game Cartridges,1990
Deathbots,American Video Entertainment,1990
Decathlon,C&E,1992
Dizzy the Adventurer,Codemasters,1993
Double Strike,"American Video Entertainment (NA)
HES (AU)",1990
Dragon Ball Z 5,SuperTone Electronics,1995
Duck Maze,HES,1990
Dudes with Attitude,American Video Entertainment,1990
Elfland,Tip Top,1992
Exodus,Wisdom Tree,1991
F-15 City War,"American Video Entertainment (NA)
HES (AU)",1990
F18 Race,Hwang Shinwei,1990
The Fantastic Adventures of Dizzy,"Camerica (NA)
Codemasters (EU)",1991
Fantasy Zone,Tengen,1989
Feng Shen Bang,C&E,1995
Final Combat,Sachen,1992
Firehawk,Camerica,1991
Frog Adventure,Sachen,1992
Frog River,Hwang Shinwei,1990
Gaiapolis,Sachen,1990
Galactic Crusader,Bunch Games,1990
Gauntlet,Tengen,1989
Gluk the Thunder Warrior,Gluk,1992
The Great Wall,Sachen,1992
Happy Pairs,Sachen,1991
Hell Fighter,Sachen,1991
Hidden Chinese Chess,Joy Van,1989
Honey Peach,Sachen,1990
Hot Slots,Panesian,1991
Huge Insect,Sachen,1993
Impossible Mission II,American Video Entertainment,1990
Incantation,Joy Van,1989
Indiana Jones and the Temple of Doom,Tengen,1989
Jing Ke Xin Zhuan,SuperTone Electronics,1992
Joshua & the Battle of Jericho,Wisdom Tree,1992
Jovial Race,Joy Van,1989
Jurassic Boy,Sachen,1990
Kart Fighter,Ge De Industry Co.,1993
King Neptune's Adventure,Color Dreams,1990
King of Kings: The Early Years,Wisdom Tree,1991
Klax,Tengen,1990
Krazy Kreatures,American Video Entertainment,1990
Linus Spacehead's Cosmic Crusade,Camerica,1992
Little Red Hood,HES,1989
Locksmith,Sachen,1991
Lucky 777,Sachen,1989
Magic Cube,Sachen,1991
Magic Jewelry,Hwang Shinwei,1990
Magic Jewelry II,Hwang Shinwei,1991
Magical Mathematics,Sachen,1990
Magical Tower,Tin Chen,1992
Mahjong Academy,Sachen,1992
Mahjong Trap,Sachen,1990
Mahjong Trap Plus,Sachen,1990
The Mahjong World,Sachen,1990
Master Chu and the Drunkard Hu,Color Dreams,1989
Maxi 15,American Video Entertainment,1992
Mēi Shāo Nú Mèng Gōngchāng,Tin Chen,Unknown
Memory Pair,Hwang Shinwei,1991
Menace Beach,Color Dreams,1990
Mermaids of Atlantis,American Video Entertainment,1991
Metal Fighter,Color Dreams,1989
Micro Machines,Camerica,1992
Middle School English II,Sachen,1989
MiG-29: Soviet Fighter,Camerica,1991
Millionaire,Sachen,1990
Minesweeper,Sachen,1989
Minesweeper 2,Sachen,1989
Minesweeper 3,Sachen,1989
Mission Cobra,Bunch Games,1990
Moon Ranger,Bunch Games,1990
Ms. Pac-Man,Tengen,1990
Myriad 6 in 1,Myriad,1992
Olympic IQ,Sachen,1991
Operation Secret Storm,Color Dreams,1992
Pac-Man,Tengen,1989
Pac-Mania,Tengen,1990
Peek-A-Boo Poker,Panesian,1991
The Penguin and Seal,Sachen,1989
Pesterminator: The Western Exterminator,Color Dreams,1990
Piano,Hwang Shinwei,Unknown
Pipe V,Sachen,1990
Poker II,Sachen,1990
Poker III,Sachen,1991
Poker Mahjong,Sachen,1991
Pole Chudes,A. Chudov,1995
Popo Team,Sachen,1991
The P'Radikus Conflict,Color Dreams,1990
Punch Sprite,Hwang Shinwei,1990
Puzzle,American Video Entertainment,1990
Pyramid,American Video Entertainment,1990
Pyramid II,Sachen,1990
Q Boy,Sachen,1994
Quattro Adventure,Camerica,1991
Quattro Arcade,Camerica,1992
Quattro Sports,Camerica,1992
Rad Racket: Deluxe Tennis II,American Video Entertainment,1991
Raid 2020,Color Dreams,1989
R.B.I. Baseball,Tengen,1989
R.B.I. Baseball 2,Tengen,1990
R.B.I. Baseball 3,Tengen,1991
Road Runner,Tengen,1989
Robodemons,Color Dreams,1990
Rockball,Sachen,1993
Rocman X,Sachen,1995
Rolling Thunder,Tengen,1989
